Category,Love,Price
Tweezers & Eyebrow Tools,135700,283
Teeth Whitening,208326,905
Skincare Sets,21094,622
Shaving,42230,776
Self Tanners,90659,400
no category,17102,545.5
Moisturizer & Treatments,65239,1333
Mirrors & Sharpeners,108600,109
Makeup Bags & Travel Cases,103791,566.95
Makeup & Travel Cases,118100,544
Lotions & Oils,202922,5442
Lip Treatments,8000,22
Lip Sunscreen,9900,39
Lip Plumper,20400,67
Lip Brushes,27326,104
High Tech Tools,3900,129
Hair Thinning & Hair Loss,14000,120
Hair Styling & Treatments,7300,39
Hair Straighteners & Flat Irons,225337,5432
Hair Spray,106732,819
Hair Removal & Shaving,9700,32
Hair Removal,54800,121
Hair Dryers,185638,4536
Hair Brushes & Combs,108219,1099
Fragrance,52934,874
For Face,236600,718.5
For Body,190545,1373
Face Wash,59895,460
Eyelash Curlers,187273,283
Eye Sets,183881,990.5
Eye Cream,19352,312.5
Deodorant & Antiperspirant,103908,318
Decollete & Neck Creams,39330,828
Curling Irons,184818,4833
Color Correct,254600,311
Color Care,73183,387
Cellulite & Stretch Marks,64924,650
Candles,15005,1321
Body Sunscreen,74385,579
Body Sprays & Deodorant,21346,650
Body Mist & Hair Mist,135246,1477
Blotting Papers,99500,84
Bath Soaks & Bubble Bath,35645,233
Bath & Shower,111249,2434
Bath & Body,135700,138
Anti-Aging,234673,4858
Aftershave,40851,496.5
After Sun Care,8700,53
